标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
黄金大劫案,4,2016/12/23,,2012/4/24,中国大陆,https://movie.douban.com/subject/6080775/
赛德克·巴莱 / 賽德克·巴萊,4,2016/12/23,,2012/5/10,中国大陆,https://movie.douban.com/subject/3993559/
神探亨特张,4,2016/12/23,,2012/7/20,中国大陆,https://movie.douban.com/subject/6880590/
听风者,4,2016/12/23,,2012/8/7,中国大陆,https://movie.douban.com/subject/6041191/
消失的子弹,3,2016/12/23,嘿嘿，还记得,2012/8/14,中国大陆,https://movie.douban.com/subject/6991110/
超凡蜘蛛侠 / The Amazing Spider-Man,5,2016/12/23,当时觉得超帅,2012/7/3,美国,https://movie.douban.com/subject/2129132/
人再囧途之泰囧,5,2016/12/23,周六偷偷跑出去看，笑死我了。,2012/12/12,中国大陆,https://movie.douban.com/subject/10574622/
少年派的奇幻漂流 / Life of Pi,5,2016/12/23,,2012/9/28,纽约电影节,https://movie.douban.com/subject/1929463/
搜索,3,2016/12/23,,2012/7/6,中国大陆,https://movie.douban.com/subject/6799191/
2012,4,2016/12/23,,2009/11/13,中国大陆,https://movie.douban.com/subject/3005875/
逆战,3,2016/12/23,,2012/1/17,中国大陆,https://movie.douban.com/subject/5977836/
加勒比海盗4：惊涛怪浪 / Pirates of the Caribbean: On Stranger ...,4,2016/12/23,,2011/5/20,美国,https://movie.douban.com/subject/3227410/
假装情侣,3,2016/12/23,,2011/6/24,中国大陆,https://movie.douban.com/subject/4858775/
钢的琴,5,2016/12/23,东北老工业基地人民最后的歌唱。,2010/9/11,多伦多电影节,https://movie.douban.com/subject/4876722/
哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallow...,5,2016/12/23,,2011/7/15,美国,https://movie.douban.com/subject/3011235/
金陵十三钗,4,2016/12/23,,2011/12/15,中国大陆,https://movie.douban.com/subject/3649049/
黑处有什么,3,2016/12/22,,2015/7/23,FIRST青年电影展,https://movie.douban.com/subject/26433966/
边境风云,4,2016/12/22,叙事结构真的不错,2012/8/17,中国大陆,https://movie.douban.com/subject/11501396/
饭局也疯狂,,2016/12/22,,2012/1/23,中国大陆,https://movie.douban.com/subject/6788265/
碟中谍4 / Mission: Impossible - Ghost Protocol,5,2016/12/22,那年冬天。,2011/12/21,美国,https://movie.douban.com/subject/3068206/
国王的演讲 / The King's Speech,4,2016/12/22,音乐课上看的，吕小布。,2010/9/6,特柳赖德电影节,https://movie.douban.com/subject/4023638/
双城计中计,,2016/12/22,电视上看的。,2012/2/24,中国大陆,https://movie.douban.com/subject/6890469/
罗曼蒂克消亡史,4,2016/12/19,好看。,2016/12/16,中国大陆,https://movie.douban.com/subject/24751763/
萨利机长 / Sully,4,2016/12/9,,2016/9/9,美国,https://movie.douban.com/subject/26416603/
血战钢锯岭 / Hacksaw Ridge,5,2016/12/8,感人，而且真实。,2016/9/4,威尼斯电影节,https://movie.douban.com/subject/26325320/
你的名字。 / 君の名は。,5,2016/12/8,可惜没带妹子看。,2016/8/26,日本,https://movie.douban.com/subject/26683290/
神奇动物在哪里 / Fantastic Beasts and Where to Find Them,3,2016/11/26,有点失望,2016/11/18,美国,https://movie.douban.com/subject/25726614/
我不是潘金莲,4,2016/11/20,蛮好笑得。,2016/9/8,多伦多电影节,https://movie.douban.com/subject/26630781/
比利·林恩的中场战事 / Billy Lynn's Long Halftime Walk,4,2016/11/20,没看到120帧！,2016/10/14,纽约电影节,https://movie.douban.com/subject/25983044/
湄公河行动,4,2016/11/20,最后不错。,2016/9/30,中国大陆,https://movie.douban.com/subject/25815034/
幸运钥匙 / 럭키,3,2016/11/20,蛮有意思的,2016/10/13,韩国,https://movie.douban.com/subject/26329796/
追凶者也,3,2016/11/13,,2016/9/14,中国大陆,https://movie.douban.com/subject/26284621/
约战西班牙,4,2016/10/29,,,,https://movie.douban.com/subject/26426761/
驴得水,4,2016/10/29,一种尝试,2016/10/28,中国大陆,https://movie.douban.com/subject/25921812/
回到被爱的每一天,5,2016/10/29,平凡的生活,2015/10/27,中国大陆,https://movie.douban.com/subject/26425533/
吃在江苏,4,2016/10/5,很好哎,,,https://movie.douban.com/subject/26878977/
黄海 / 황해,4,2016/10/5,绵老板…死了太可惜了…,2010/12/22,韩国,https://movie.douban.com/subject/3743114/
素媛 / 소원,5,2016/10/4,心痛,2013/10/2,韩国,https://movie.douban.com/subject/21937452/
7号房的礼物 / 7번방의 선물,4,2016/10/4,千万不要相信标签上的话。,2013/1/23,韩国,https://movie.douban.com/subject/10777687/
奇怪的她 / 수상한 그녀,4,2016/10/4,喜欢杨子姗,2014/1/22,韩国,https://movie.douban.com/subject/24879820/
恐怖直播 / 더 테러 라이브,5,2016/9/19,大叔按下炸弹那一刻，虽然知道没啥卵用，但就是很爽啊。,2013/7/31,韩国,https://movie.douban.com/subject/21360417/
隧道 / 터널,4,2016/9/18,感觉最后怎么救出来的说的不是很清楚，有点乱。其他都很好。喜欢这样幽默的男主。,2016/8/10,韩国,https://movie.douban.com/subject/26410594/
最后一次赛跑 / Sein letztes Rennen,4,2016/9/16,,,,https://movie.douban.com/subject/24522647/
釜山行 / 부산행,5,2016/9/16,男主从火车上掉下去的那一刻，哭了。,2016/5/13,戛纳电影节,https://movie.douban.com/subject/25986180/
盲井,5,2016/9/8,王宝强演的是真傻,2003/2/12,柏林电影节,https://movie.douban.com/subject/1307528/
盲山,5,2016/9/8,心痛,2007/5/20,戛纳电影节,https://movie.douban.com/subject/2063528/
该死的歌德 / Fack ju Göhte,3,2016/9/5,可以,2013/11/7,德国,https://movie.douban.com/subject/24815502/
"沉重的决定 / Wer früher stirbt, ist länger tot",4,2016/9/4,好看，精致。,,,https://movie.douban.com/subject/1830949/
丁丁历险记 / The Adventures of Tintin: The Secret of the Unicorn,4,2016/8/30,gut,2011/11/15,中国大陆,https://movie.douban.com/subject/2028669/
白兔糖 / うさぎドロップ,3,2016/8/28,可爱的小女孩,2011/8/20,日本,https://movie.douban.com/subject/4935011/
一个叫欧维的男人决定去死 / En man som heter Ove,4,2016/8/28,沃尔沃和萨博,2015/12/25,瑞典,https://movie.douban.com/subject/26628357/
红辣椒 / パプリカ,3,2016/8/28,不太懂,2006/9/2,威尼斯电影节,https://movie.douban.com/subject/1865703/
海蒂和爷爷 / Heidi,5,2016/8/27,每一个遇到的人都是善良的人。世界应该这样。,2015/12/10,德国,https://movie.douban.com/subject/25958717/
黄黑的墙 / Wir die Wand,5,2016/8/27,,,,https://movie.douban.com/subject/25742233/
谍影重重5 / Jason Bourne,3,2016/8/24,一般般吧，不喜欢镜头晃，看着晕。,2016/7/29,美国,https://movie.douban.com/subject/26266072/
飓风营救 / Taken,5,2016/8/24,I will find you.,2008/2/27,法国,https://movie.douban.com/subject/2124586/
飓风营救2 / Taken 2,3,2016/8/24,,2012/10/5,美国,https://movie.douban.com/subject/3606971/
电锯惊魂 / Saw,4,2016/8/24,不太恐怖，是人性。,2004/1/19,圣丹斯电影节,https://movie.douban.com/subject/1417598/
我们诞生在中国 / Born in China,3,2016/8/21,蛮可爱,2016/8/12,中国大陆,https://movie.douban.com/subject/26376454/
使徒行者,2,2016/8/17,Scheisse,2016/8/11,中国大陆,https://movie.douban.com/subject/26336253/
爱宠大机密 / The Secret Life of Pets,3,2016/8/13,萌，哈哈。,2016/7/8,美国,https://movie.douban.com/subject/21817627/
完美陌生人 / Perfetti sconosciuti,3,2016/8/6,喜欢男主人。,2016/2/11,意大利,https://movie.douban.com/subject/26614893/
箭士柳白猿,2,2016/8/6,不太懂,2012/11/11,金马影展,https://movie.douban.com/subject/7564989/
惊天大逆转,3,2016/8/4,惊天大逆转之不死之身陈道明,2016/7/15,中国大陆,https://movie.douban.com/subject/26375609/
谍影重重3 / The Bourne Ultimatum,4,2016/7/30,好看,2007/8/3,美国,https://movie.douban.com/subject/1578507/
大鱼海棠,3,2016/7/8,美，美，美(1 有用),2016/7/8,中国大陆,https://movie.douban.com/subject/5045678/
惊天魔盗团2 / Now You See Me 2,2,2016/6/28,弱智,2016/6/10,美国,https://movie.douban.com/subject/25662337/
独立日2：卷土重来 / Independence Day: Resurgence,2,2016/6/24,有点反胃(1 有用),2016/6/24,中国大陆,https://movie.douban.com/subject/4811813/
怪兽大学 / Monsters University,5,2016/6/20,还是一部给成人看的动画片。一个天生不吓人的怪物，却非要争取做最吓人的怪物。就好比一个没有天赋的人，去追求看似不可能得到的东西。但是，途径总是有很多的。,2013/6/21,美国,https://movie.douban.com/subject/3789848/
里约大冒险 / Rio,4,2016/6/20,我要飞！,2011/4/8,中国大陆,https://movie.douban.com/subject/3731581/
海底总动员 / Finding Nemo,5,2016/6/19,最喜欢那只海龟和东澳大利亚洋流！,2003/5/30,美国,https://movie.douban.com/subject/1291586/
海底总动员2：多莉去哪儿 / Finding Dory,5,2016/6/17,太萌了，太好看了！完全值得起五星的评价，最感动的是贝壳那段。,2016/6/17,中国大陆,https://movie.douban.com/subject/11524967/
后窗 / Rear Window,3,2016/6/14,哈哈偷窥狂,1954/8/1,美国,https://movie.douban.com/subject/1299080/
摩登时代 / Modern Times,5,2016/6/14,经典！,1936/2/25,美国,https://movie.douban.com/subject/1294371/
城市之光 / City Lights,5,2016/6/7,感动。,1931/1/30,洛杉矶首映,https://movie.douban.com/subject/1293908/
大独裁者 / The Great Dictator,5,2016/6/5,一个人的良心,,,https://movie.douban.com/subject/1295646/
老男孩 / 올드보이,4,2016/6/3,两段不可描述的戏被剪了，导致理解有些偏差。不过最后的段落还是可以的。,2003/11/21,韩国,https://movie.douban.com/subject/1308865/
再见，在也不见 / 再見，在也不見,3,2016/6/3,不是期待的忻钰坤,2015/11/5,中国台湾金马影展,https://movie.douban.com/subject/26282530/
低俗小说 / Pulp Fiction,4,2016/6/1,还得再仔细看看。,1994/5/12,戛纳电影节,https://movie.douban.com/subject/1291832/
天使爱美丽 / Le fabuleux destin d'Amélie Poulain,4,2016/6/1,强迫症必看！,2001/4/25,法国,https://movie.douban.com/subject/1292215/
鬼子来了,5,2016/6/1,一个字，震撼。,2000/5/12,戛纳电影节,https://movie.douban.com/subject/1291858/
蝙蝠侠：黑暗骑士 / The Dark Knight,5,2016/6/1,最好的蝙蝠侠。,2008/7/14,纽约首映,https://movie.douban.com/subject/1851857/
蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises,5,2016/6/1,那个洞太让我害怕。,2012/7/20,美国,https://movie.douban.com/subject/3395373/
青蜂侠 / The Green Hornet,5,2016/5/30,好看！！！,2011/1/14,美国,https://movie.douban.com/subject/2147836/
上帝之城 / Cidade de Deus,4,2016/5/27,残酷,2002/5/18,戛纳电影节,https://movie.douban.com/subject/1292208/
百鸟朝凤,3,2016/5/15,还可以。,2013/9/25,金鸡百花电影节,https://movie.douban.com/subject/10831445/
美国队长3 / Captain America: Civil War,3,2016/5/9,对超级英雄已经审美疲劳了。,2016/4/12,加州首映,https://movie.douban.com/subject/25820460/
初恋这件小事 / สิ่งเล็กเล็...,3,2016/5/6,都好丑啊…但是还挺感人的😂,2010/8/12,泰国,https://movie.douban.com/subject/4739952/
听说 / 聽說,4,2016/5/6,蛮感动的，而且主角好漂亮啊！！！！,2009/8/28,中国台湾,https://movie.douban.com/subject/3824672/
我11,3,2016/5/4,喜欢这个风格的，虽然有些散,2011/9/11,多伦多电影节,https://movie.douban.com/subject/5044737/
Hello！树先生,4,2016/5/4,黑色幽默,2011/11/4,中国大陆,https://movie.douban.com/subject/4135710/
北京遇上西雅图之不二情书,3,2016/4/30,还可以。,2016/4/29,中国大陆,https://movie.douban.com/subject/26322792/
海洋天堂,5,2016/4/30,非常非常感人。,2010/6/18,中国大陆,https://movie.douban.com/subject/4004731/
桃姐,5,2016/4/30,感人,2011/9/5,威尼斯电影节,https://movie.douban.com/subject/5977835/
岁月神偷 / 歲月神偷,4,2016/4/30,忘了,2010/2/14,柏林电影节,https://movie.douban.com/subject/3792799/
亲爱的,3,2016/4/30,可以,2014/8/28,威尼斯电影节,https://movie.douban.com/subject/25798222/
罪恶之家 / An Inspector Calls,4,2016/4/21,前面的安排太过巧合，会让人觉得很假。但精华是得知女孩没有死以后。,2015/9/13,英国,https://movie.douban.com/subject/25955491/
美人鱼,1,2016/4/20,每一句台词都很奇怪，每一段剧情都很尴尬，每一个人的表演都很傻逼，我想问所谓的笑点在哪里？这就是周星驰拍出来的电影？功夫去哪了？长江七号去哪了？这电影居然能打到七分，难道周星驰是神？年度最烂。,2016/2/8,中国大陆,https://movie.douban.com/subject/19944106/
垫底辣妹 / ビリギャル,4,2016/4/19,很燃啊，不过当初高考的我完全没有奋斗的感觉啊，可能也是最后没考好的原因吧。,2015/5/1,日本,https://movie.douban.com/subject/26259677/
家在水草丰茂的地方,5,2016/4/18,一部中国西部真是社会的写照。,2014/10/26,东京国际电影节,https://movie.douban.com/subject/11537965/
闯入者,4,2016/4/12,一部电影说了很多问题，如何养老，老年人与年轻一代的格格不入，支援三线建设的遗留问题，无比的贴近生活。,2014/9/4,威尼斯电影节,https://movie.douban.com/subject/20514902/
火锅英雄,4,2016/4/10,歌好听，有特色。,2016/4/1,中国大陆,https://movie.douban.com/subject/25662327/
蝙蝠侠：侠影之谜 / Batman Begins,5,2016/3/29,诺兰的蝙蝠侠叙事更有章法，更好看，同时蝙蝠侠也更接近于普通的人类，使他更受喜爱。,2005/6/15,美国,https://movie.douban.com/subject/1309069/
乐高蝙蝠侠大电影：DC英雄集结 / LEGO Batman: The Movie - DC Sup...,4,2016/3/28,萌！,2013/5/21,美国,https://movie.douban.com/subject/21349175/
蝙蝠侠大战超人：正义黎明 / Batman v Superman: Dawn of Justice,4,2016/3/27,喜欢阴暗的画风，剧情不咋样，但能看到蝙蝠侠就很满足啦。不过蝙蝠侠真的还是不要和超人放在一起了…配角的感觉。,2016/3/25,中国大陆,https://movie.douban.com/subject/24750534/
聚焦 / Spotlight,5,2016/3/26,做错了就是错了，就算做了再多贡献也无法掩盖。,2015/9/3,威尼斯电影节,https://movie.douban.com/subject/25954475/
房间 / Room,5,2016/3/25,真的好看，前半部分在房间里让我十分害怕他们随时会出什么危险，小男孩逃出去了怕被抓回来，可真正逃出去以后我变得更怕，怕他们被外界伤害到。但幸好，结局是圆满的，他们从房间逃出，心灵也从过去的阴影逃出，非常精彩。,2015/9/4,特柳赖德电影节,https://movie.douban.com/subject/25724855/
荒野猎人 / The Revenant,3,2016/3/22,原谅我不够文艺。,2015/12/16,美国加州,https://movie.douban.com/subject/5327268/
丹麦女孩 / The Danish Girl,3,2016/3/22,很佩服他，一个有胆量的人。,2015/9/5,威尼斯电影节,https://movie.douban.com/subject/3071604/
飞鹰艾迪 / Eddie the Eagle,3,2016/3/22,感觉太平淡，最后的起跳的画面倒是很燃，一碗暖暖的鸡汤，可以让我好好学习几天了。,2016/2/26,美国,https://movie.douban.com/subject/3072064/
咒怨 / 呪怨,2,2016/3/14,寒假晚上和朋友关了灯看得，不恐怖。,2002/10/18,Screamfest恐怖电影节,https://movie.douban.com/subject/1306808/
爆裂鼓手 / Whiplash,5,2016/3/14,我喜欢，长得好看。,2014/1/16,圣丹斯电影节,https://movie.douban.com/subject/25773932/
那些年，我们一起追的女孩 / 那些年，我們一起追的女孩,5,2016/3/14,高二那年，正值青春，和同桌基友看得，真值得怀念！,2011/8/19,中国台湾,https://movie.douban.com/subject/4920528/
我不是王毛,3,2016/3/11,笑点很多，前面像黑色喜剧，十分有意思，但后半部分开始主旋律，未免俗套…,,,https://movie.douban.com/subject/25757187/
荒蛮故事 / Relatos salvajes,5,2016/3/10,很惊艳，和天注定很像，但天注定由于是国内的，看起来更真实，也更血腥。相对来说还是喜欢荒蛮故事，尤其是最后一个，相爱相杀，十分残酷。,2014/5/17,戛纳电影节,https://movie.douban.com/subject/24750126/
马耳他之鹰 / The Maltese Falcon,3,2016/3/8,念台词的速度让我这奔腾的大脑如何处理得过来。不是太喜欢，演了一半过了还不知道谁是谁，根本没交代清楚，一般般吧。,,,https://movie.douban.com/subject/1297874/
疯狂动物城 / Zootopia,5,2016/3/5,树濑太萌了！！！所有小动物都好可爱，非常符合我们对小动物的印象。,2016/3/4,中国大陆,https://movie.douban.com/subject/25662329/
公民凯恩 / Citizen Kane,4,2016/3/2,"Rosebud,我自己。",1941/9/5,美国,https://movie.douban.com/subject/1292288/
熔炉 / 도가니,5,2016/2/29,愤怒！,2011/9/22,韩国,https://movie.douban.com/subject/5912992/
来自星星的你 / 별에서 온 그대,4,2016/2/28,好感人，有些地方真是有共鸣啊,2013/12/18,韩国,https://movie.douban.com/subject/25698722/
控方证人 / Witness for the Prosecution,4,2016/2/28,我是以最后侦探一定能看出真相的思想来看的，没想到最后没有。亏得我还以为最后的结局都是侦探看透人性安排好的，结果他根本没看透。不过还是非常精彩的，值这个分。浓浓的阿加莎味。,1957/12/17,美国,https://movie.douban.com/subject/1296141/
功夫熊猫 / Kung Fu Panda,4,2016/2/3,连看三部功夫熊猫，觉得1最好看。,2008/5/15,戛纳电影节,https://movie.douban.com/subject/1783457/
功夫熊猫2 / Kung Fu Panda 2,4,2016/2/3,,2011/5/26,美国,https://movie.douban.com/subject/3233635/
功夫熊猫3 / Kung Fu Panda 3,4,2016/2/3,听出来的配音有杨幂 张国立 周杰伦等，不知道对不对。,2016/1/29,美国,https://movie.douban.com/subject/11589036/
东北偏北,3,2016/1/18,这类电影比较少，希望中国电影题材多起来。总体凑合，中等偏下。,2014/10/25,东京电影节,https://movie.douban.com/subject/26061902/
极速风流 / Rush,4,2016/1/18,能不能搞个好点的名字？名字配不上这电影。把赛车题材拍成这样绝对有水平。,2013/9/13,英国,https://movie.douban.com/subject/6803494/
星球大战7：原力觉醒 / Star Wars: The Force Awakens,3,2016/1/12,前几部都没看过，也没什么情怀，一般般吧，巨幕也没什么不同。,2015/12/18,美国,https://movie.douban.com/subject/20326665/
神探夏洛克：可恶的新娘 / Sherlock: The Abominable Bride,1,2016/1/4,shit…拍福尔摩斯就好好拍嘛，故弄玄虚，古代现在穿来穿去，简直无聊。,2016/1/1,英国,https://movie.douban.com/subject/25920885/
浪潮 / Die Welle,4,2016/1/3,很可怕,2008/3/13,德国,https://movie.douban.com/subject/2297265/
一切都好,3,2016/1/3,说的都对，但注定平庸。另外，最近怎么这么多电影说同性恋啊。,2016/1/1,中国大陆,https://movie.douban.com/subject/26425088/
唐人街探案,5,2015/12/31,非常好看，我喜欢的类型，探案。不过有三个地方真是吓死了。,2015/12/31,中国大陆,https://movie.douban.com/subject/26311973/
山河故人,3,2015/12/30,不太懂,2015/5/20,戛纳电影节,https://movie.douban.com/subject/25890005/
布达佩斯之恋 / Gloomy Sunday - Ein Lied von Liebe und Tod,4,2015/12/30,是好看的，女主角也很性感，爱情很感人。但不太能接受同时有两个男朋友。,,,https://movie.douban.com/subject/1301106/
非常主播 / 과속스캔들,5,2015/12/28,好好看，好温馨的一部电影。意外的惊喜。,2008/12/3,韩国,https://movie.douban.com/subject/3550132/
教父 / The Godfather,3,2015/12/28,没啥感觉,1972/3/15,纽约首映,https://movie.douban.com/subject/1291841/
逆光飞翔 / 逆光飛翔,5,2015/12/28,恩,2012/9/21,中国台湾,https://movie.douban.com/subject/10733376/
小羊肖恩 / Shaun the Sheep Movie,5,2015/12/28,没有台词却比有台词更好看,2015/2/6,英国,https://movie.douban.com/subject/24397586/
模仿游戏 / The Imitation Game,4,2015/12/28,不错的，明明网上有资源就是没心情看，然后一个人去电影院看了。,2014/11/14,英国,https://movie.douban.com/subject/10463953/
何以笙箫默,1,2015/12/28,不想承认与影院看过……纯粹是因为别人给了张票,2015/4/30,中国大陆,https://movie.douban.com/subject/26259634/
战狼,3,2015/12/28,宿舍一起去看得，还行吧。不是喜欢的类型。,2015/4/2,中国大陆,https://movie.douban.com/subject/24753810/
左耳,2,2015/12/28,没电影看了才去看的，一部为了看电影而去看电影才看了的电影。,2015/4/24,中国大陆,https://movie.douban.com/subject/25745752/
全能囧爸,5,2015/12/28,偶然在电视上看到了…意外的惊喜啊。朴实无华,2015/3/5,中国大陆,https://movie.douban.com/subject/26011893/
狼图腾,3,2015/12/28,不好看,2015/2/19,中国大陆,https://movie.douban.com/subject/3993588/
熊出没之雪岭熊风,4,2015/12/28,好看哦,2015/1/30,中国大陆,https://movie.douban.com/subject/26220731/
重返20岁,5,2015/12/28,真的被杨子姗惊艳到了。,2015/1/8,中国大陆,https://movie.douban.com/subject/25870084/
暴力街区 / Brick Mansions,3,2015/12/28,还不错啦,2014/4/23,法国,https://movie.douban.com/subject/3718269/
十二公民,4,2015/12/28,结尾扯淡，社会主义正能量。其他很好。,2014/10/19,罗马电影节,https://movie.douban.com/subject/24875534/
哆啦A梦：伴我同行 / STAND BY ME ドラえもん,5,2015/12/28,感动到想哭哎,2014/8/8,日本,https://movie.douban.com/subject/25769362/
归来,3,2015/12/28,可能现在看会有不同的想法。三星是以前的评分,2014/5/16,中国大陆,https://movie.douban.com/subject/21352814/
霍比特人3：五军之战 / The Hobbit: The Battle of the Five Armies,3,2015/12/28,不知道怎么打分，因为这个系列我都没看过…为了应付去看的，没看懂。,2014/12/17,美国,https://movie.douban.com/subject/2973079/
变形金刚4：绝迹重生 / Transformers: Age of Extinction,2,2015/12/28,哈哈哈怕,2014/6/19,中国香港首映,https://movie.douban.com/subject/7054604/
海洋之歌 / Song of the Sea,4,2015/12/28,不错哎，很美,2014/9/6,多伦多电影节,https://movie.douban.com/subject/11584019/
女间谍 / Spy,3,2015/12/28,一般般吧,2015/5/21,澳大利亚,https://movie.douban.com/subject/25752261/
飓风营救3 / Taken 3,4,2015/12/28,喜欢老头子，这几部都不错,2014/12/16,柏林首映,https://movie.douban.com/subject/20277632/
分手大师,4,2015/12/28,当时觉得还不错的…可能是有变形金刚的对比,2014/6/27,中国大陆,https://movie.douban.com/subject/24879858/
白日焰火,4,2015/12/28,桂纶镁！,2014/2/12,柏林电影节,https://movie.douban.com/subject/21941804/
分手专家 / Schlussmacher,4,2015/12/27,最后一堂德语课上看的电影，怀念。,2013/1/10,德国,https://movie.douban.com/subject/10745195/
再见列宁 / Good Bye Lenin!,5,2015/12/27,很精彩，用了一个精致的故事融化政治的坚冰，只可惜看得时候没有中文字幕，半懂不懂。,2003/2/9,柏林电影节,https://movie.douban.com/subject/1292055/
五十度灰 / Fifty Shades of Grey,2,2015/12/25,难看,2015/2/9,洛杉矶首映,https://movie.douban.com/subject/24840488/
老炮儿,4,2015/12/24,在理,2015/9/9,威尼斯电影节,https://movie.douban.com/subject/24751756/
偷书贼 / The Book Thief,5,2015/12/20,感动😢,2013/11/8,美国,https://movie.douban.com/subject/21348876/
消失的爱人 / Gone Girl,4,2015/12/20,一个可怕的女人😨😨😨😨,2014/9/26,纽约电影节,https://movie.douban.com/subject/21318488/
寻龙诀,3,2015/12/19,特效十足，蛮值的。,2015/12/18,中国大陆,https://movie.douban.com/subject/3077412/
万万没想到,3,2015/12/19,哈哈哈哈，有些脑洞比较不错，总体一般般。,2015/12/18,中国大陆,https://movie.douban.com/subject/26320029/
极盗者 / Point Break,4,2015/12/11,好好看的极限运动，而且意外地看到了steve aoki的客串和动次打次的the power of now,2015/12/4,中国大陆,https://movie.douban.com/subject/25809384/
师父,3,2015/12/10,不太喜欢看武侠片，但拍得还是不错啦。尤其。。。宋佳让人流口水…………,2015/11/11,台北金马影展,https://movie.douban.com/subject/25919910/
万箭穿心,5,2015/12/6,看完之后真是万箭穿心，真实，不能更真实。,2012/11/16,中国大陆,https://movie.douban.com/subject/10537853/
海绵宝宝 / The SpongeBob Movie: Sponge Out of Water,4,2015/12/2,"好看,搞笑，也很正能量。",2015/2/6,美国,https://movie.douban.com/subject/11808948/
不能说的秘密 / 不能說的·祕密,5,2015/11/28,一部让我看一遍哭一遍的电影，桂纶镁演的精彩，杰伦有些青涩。不用多说。,2007/7/27,中国台湾,https://movie.douban.com/subject/2124724/
火星救援 / The Martian,4,2015/11/26,好看，不过也许是心态变了，总感觉看一般的商业片提不起太大的兴趣，加之时间稍长所以有些无聊。难道我真的变文艺了？,2015/10/2,美国,https://movie.douban.com/subject/25864085/
我的少女时代 / 我的少女時代,4,2015/11/23,很容易让人感动的一部小清新电影，但我已不再是能被感动的时候。言承旭好帅！,2015/8/15,中国台湾,https://movie.douban.com/subject/26366465/
一个勺子,4,2015/11/20,前面有点沉闷，后面很好看，值得推荐。,2014/11/16,金马影展,https://movie.douban.com/subject/25926267/
心迷宫,5,2015/10/18,俺们村整天烧死人。,2014/7/21,FIRST青年影展,https://movie.douban.com/subject/25917973/
窃听风暴 / Das Leben der Anderen,5,2015/10/8,拍的好。,2006/3/23,德国,https://movie.douban.com/subject/1900841/
窃听风云 / 竊聽風雲,4,2015/10/8,,2009/7/24,中国大陆,https://movie.douban.com/subject/3412882/
窃听风云3,2,2015/10/8,,2014/5/29,中国大陆,https://movie.douban.com/subject/10726941/
窃听风云2,3,2015/10/8,,2011/8/18,中国大陆,https://movie.douban.com/subject/5422105/
霸王别姬,5,2015/10/7,大背景下的艺术，艺术与政治无关，艺术不该受政治影响。,1993/1/1,中国香港,https://movie.douban.com/subject/1291546/
言叶之庭 / 言の葉の庭,4,2015/10/7,好奇怪的感觉，没啥感觉，画面不错。,2013/5/31,日本,https://movie.douban.com/subject/20470074/
朗读者 / The Reader,3,2015/10/7,不太看得懂，有可能看的时候分心了。,2008/12/10,纽约首映,https://movie.douban.com/subject/2213597/
夏洛特烦恼,4,2015/10/7,剧情俗，但笑点不俗，浓浓的话剧风，难得的一部好片子。唯一一部在电影院看了两遍的。,2015/9/30,中国大陆,https://movie.douban.com/subject/25964071/
解救吾先生,4,2015/10/7,好看啊，好看啊，笑的地方很足。但也正由于这点造成不太犯罪……王千源，刘德华很好。不如烈日灼心。,2015/9/26,丝绸之路电影节,https://movie.douban.com/subject/25798448/
小黄人大眼萌 / Minions,3,2015/10/7,萌，,2015/7/10,美国,https://movie.douban.com/subject/11624706/
港囧,3,2015/10/7,俗，还好，不如泰囧。9月25日华夏影城,2015/9/25,中国大陆,https://movie.douban.com/subject/25710912/
暗杀 / 암살,4,2015/10/7,全智贤漂亮，有的时候看起来像韩佳人，哈哈。华夏影城，一个人。,2015/7/22,韩国,https://movie.douban.com/subject/25823132/
碟中谍5：神秘国度 / Mission: Impossible - Rogue Nation,5,2015/10/7,爽，好看。,2015/7/31,美国,https://movie.douban.com/subject/10727641/
烈日灼心,5,2015/10/7,演得太精彩……爆表,2015/6/15,上海电影节,https://movie.douban.com/subject/24719063/
恋爱中的城市,2,2015/10/7,没兴趣。,2015/8/20,中国大陆,https://movie.douban.com/subject/26263443/
开心家族 / 헬로우 고스트,3,2015/7/26,为啥我感觉没什么好感动的？一部奇怪的电影。,2010/12/22,韩国,https://movie.douban.com/subject/6019180/
煎饼侠,4,2015/7/17,笑点不错，拯救不开心。,2015/7/17,中国大陆,https://movie.douban.com/subject/25895276/
西游记之大圣归来,4,2015/7/15,画面真的非常美，齐天大圣又是每个小孩心中无与伦比的大英雄。但失去了法力的齐天大圣就像个落寞的英雄，心中难免一丝同情。但总有解开封印，大圣归来的那一天。没什么说的，就是帅。,2015/7/10,中国大陆,https://movie.douban.com/subject/26277313/
小时代4：灵魂尽头,1,2015/7/9,为什么不能给0星。,2015/7/9,中国大陆,https://movie.douban.com/subject/24847343/
我是路人甲,3,2015/7/3,有的地方很好，有的地方太过。饭店老板发疯的那段真的拍的很好。,2015/7/3,中国大陆,https://movie.douban.com/subject/25746375/
触不可及 / Intouchables,5,2014/12/8,还是可以的，很少看法国的电影。,2011/11/2,法国,https://movie.douban.com/subject/6786002/
星际穿越 / Interstellar,5,2014/11/16,精彩,2014/11/7,美国,https://movie.douban.com/subject/1889243/
